iter	Passed	Remaining
260	393	1115
261	394	1111
262	395	1107
263	396	1104
264	396	1100
265	397	1096
266	398	1093
267	399	1091
268	400	1088
269	401	1085
270	402	1081
271	402	1078
272	403	1074
273	404	1071
274	405	1067
275	405	1064
276	406	1061
277	407	1057
278	408	1054
279	408	1051
280	409	1047
281	410	1044
282	410	1041
283	411	1037
284	412	1034
285	413	1032
286	414	1030
287	415	1027
288	416	1024
289	417	1021
290	417	1018
291	418	1015
292	419	1012
293	420	1009
294	420	1005
295	421	1002
296	422	999
297	423	996
298	423	993
299	424	990
300	425	987
301	425	984
302	426	981
303	427	978
304	428	976
305	429	974
306	430	971
307	431	968
308	432	966
309	432	963
310	433	960
311	434	957
312	435	954
313	435	952
314	436	949
315	437	946
316	438	943
317	438	941
318	439	938
319	440	935
320	440	932
321	441	930
322	442	927
323	444	926
324	444	923
325	445	921
326	446	918
327	447	915
328	447	913
329	448	910
330	449	908
331	449	905
332	450	902
333	451	900
334	452	898
335	453	895
336	453	893
337	454	890
338	455	888
339	456	885
340	457	883
341	458	881
342	459	879
343	459	876
344	460	874
345	461	871
346	462	869
347	462	866
348	463	864
349	464	861
350	464	859
351	465	857
352	466	854
353	467	852
354	467	850
355	468	847
356	469	845
357	470	842
358	470	840
359	472	839
360	473	837
361	474	835
362	474	833
363	475	830
364	476	828
365	476	826
366	477	823
367	478	821
368	479	819
369	479	817
370	480	814
371	481	812
372	482	810
373	482	808
374	483	806
375	484	803
376	485	801
377	486	800
378	487	799
379	488	797
380	489	795
381	490	793
382	491	792
383	492	790
384	493	789
385	495	787
386	496	786
387	497	784
388	498	782
389	499	781
390	500	779
391	503	780
392	504	778
393	505	776
394	505	774
395	506	773
396	507	771
397	508	769
398	509	767
399	510	765
400	511	763
401	512	761
402	513	759
403	513	758
404	514	756
405	516	755
406	517	753
407	518	752
408	519	750
409	522	751
410	523	749
411	523	747
412	524	746
413	525	744
414	526	742
415	527	740
416	528	738
417	528	736
418	529	734
419	530	732
420	531	731
421	533	730
422	534	728
423	534	726
424	535	724
425	536	723
426	537	721
427	538	719
428	539	717
429	540	716
430	540	714
431	541	712
432	542	710
433	543	708
434	543	706
435	544	704
436	545	703
437	547	702
438	548	701
439	550	700
440	550	698
441	551	696
442	552	694
443	552	692
444	553	690
445	554	688
446	555	686
447	556	685
448	556	683
449	557	681
450	558	679
451	558	677
452	559	675
453	560	674
454	562	673
455	563	672
456	566	672
457	566	670
458	567	668
459	568	667
460	569	665
461	569	663
462	570	661
463	571	659
464	571	658
465	572	656
466	573	654
467	574	652
468	575	651
469	576	650
470	577	648
471	578	647
472	580	646
473	582	646
474	583	644
475	584	643
476	585	642
477	586	640
478	587	638
479	588	637
480	589	635
481	592	636
